,param_C,param_kernel,param_gamma,param_degree,param_epsilon,mean_test_score,std_test_score,rank_test_score
335,5.059956404414854,rbf,auto,29,0.0031258799352552615,-0.8060722921164561,0.04879114495736316,216
252,4.94664328230996,rbf,auto,13,0.0029689622677702434,-0.8060724122247891,0.04881248284054278,217
40,5.027282082252756,rbf,auto,20,0.0028173778598819185,-0.8060725003078085,0.04880441136910875,218
151,4.935487908755945,rbf,auto,9,0.0028436014187497916,-0.8060725031429403,0.04881011488216538,219
361,4.997486239649903,rbf,auto,14,0.002356327263469072,-0.806072662955339,0.04883324354536366,220
232,4.982332242871506,rbf,auto,3,0.0025771802743210547,-0.8060729603440435,0.04881873293608198,221
383,4.910285162696851,rbf,auto,27,0.0029852142445844464,-0.8060734659419195,0.048803112795973866,222
310,5.022990052630531,rbf,auto,26,0.002932149160083986,-0.8060735184465566,0.04881365889340433,223
251,4.94228960139931,rbf,auto,26,0.0026776778200776176,-0.8060737633785434,0.04881226191376073,224
33,4.912711670057205,rbf,auto,23,0.0033452062633180365,-0.806074358488118,0.04881620164290966,225
297,5.006692218395265,rbf,auto,7,0.0028667542462869435,-0.8060746111712402,0.048803459376180226,226
372,5.046436915691813,rbf,auto,2,0.003003584302168267,-0.8060746232995697,0.048789190314702795,227
101,4.914083226169909,rbf,auto,18,0.003076036133495849,-0.8060749901437003,0.04880462418077648,228
322,5.0605706897196026,rbf,auto,21,0.0030196076586506953,-0.8060752706415402,0.048778146498420466,229
271,5.001522075736891,rbf,auto,17,0.0026502001159055834,-0.8060754485442965,0.04881342457522601,230
174,5.089449715476772,rbf,auto,25,0.0029604436941064217,-0.8060756801417057,0.048773914087223605,231
127,5.031422265700034,rbf,auto,5,0.0030596037311717613,-0.8060757574977936,0.04880135711645605,232
357,4.906845622164107,rbf,auto,20,0.0031217445392456703,-0.8060760009208557,0.04881173212725439,233
172,4.916967542817039,rbf,auto,19,0.0029075270861339117,-0.806076096031027,0.0488109904089568,234
106,5.062022678935836,rbf,auto,25,0.003058568554328403,-0.8060761200423929,0.048783008610318944,235
373,5.033007334909252,rbf,auto,7,0.0028674718908970036,-0.806076485284349,0.04880571632437021,236
384,4.966848778163392,rbf,auto,26,0.002372186543501848,-0.8060767052413411,0.04881884577663417,237
347,4.935708932410867,rbf,auto,1,0.0027846079239168308,-0.8060773858021747,0.048810523459299385,238
306,5.019688540241046,rbf,auto,4,0.002714622216737981,-0.8060775821628223,0.048814712596736164,239
248,5.073442996214945,rbf,auto,6,0.002664086332275116,-0.8060777219920583,0.048780391310981476,240
268,5.043691454167311,rbf,auto,11,0.0028590634473494993,-0.806078198366903,0.04879750035788605,241
126,4.955986779389189,rbf,auto,16,0.0025844812871328336,-0.806078510946296,0.04880978677943921,242
427,5.0885463548270256,rbf,auto,22,0.0030396839743942958,-0.8060787515516308,0.04876753106104372,243
59,5.026870268940273,rbf,auto,2,0.0026556729165856823,-0.8060788806108505,0.0488225563193556,244
55,4.949375212567721,rbf,auto,7,0.0024872425294619276,-0.8060791277156378,0.04881637181462053,245
37,5.0122554395139,rbf,auto,14,0.002469977981821954,-0.8060800391566698,0.04882046302400376,246
291,5.049521876035251,rbf,auto,15,0.0028884313545306287,-0.8060804694732037,0.04879733815504656,247
350,5.0925298637109755,rbf,auto,20,0.003341425682853231,-0.8060805946672831,0.04876370605955921,248
114,5.064520112131932,rbf,auto,22,0.0026864121359832776,-0.8060817834139392,0.04878738464830443,249
